"","BIOMASS","Bare_Soil_","EVI","GLCM_Ang_2","GLCM_Homog","GLCM_Mean_","GLCM_StdDe","GVI_NIRGRE","L1SD1","L2SD2","L3SD3","L4SD4","L5SD5","MCARI","MCARIMTVI2","NDVI","R1","R2","R3","R4","R5","Rel_area_s","Rel_shad","SAVI","Shadow_R","shadsoil"
"143",81.022,0.897667453882415,0.173857094609666,0.0003455521060011,0.0526223119880713,127.765392650855,43.2415244445629,1.63695415503826,33.8947010111141,30.7797533462144,13.1354614427518,22.6335046133619,18.3894260432466,0.0141176357857479,0.174179965418644,0.0663017479695474,0.121089836165048,0.111724302184466,0.115563501213592,0.131975788834952,0.182887560679612,0.370873786407767,0.149514563106796,0.126477493760959,0.884957562431478,0.0098584120277953
"144",118.258,0.876457585375725,0.218680679669603,0.000160161925273,0.0593250576290448,126.832706438074,42.6945408740788,1.7713774715955,33.9236668089734,35.4619588970078,12.9155350423557,22.5758231787749,15.6250159658326,0.022740520960905,0.207677018495902,0.0959345482020939,0.118824799153421,0.110560437543193,0.110959722702142,0.134508616966137,0.195844268313753,0.123704215618521,0.302004146510021,0.157816297186496,0.887611761246433,0.0101272642972897
"145",19.762,0.943422984341336,0.088941599222984,0.0002177863062238,0.0378429897213133,129.377267492082,40.1236357638014,1.33134388287907,44.8493812493809,35.8750609815129,25.5712011249496,28.7912116469526,26.808147376188,-0.002256133789502,-0.0765802765784315,-0.0014979566173174,0.14187828196347,0.132999750285388,0.142607858875571,0.142181257134703,0.177068403966895,0,0,0.0630624796401123,0.862118000145627,0.0091381916113431
"146",119.35,0.941260615538996,0.165233441548607,0.0002117187278758,0.0411217146970674,128.139152341436,43.8320199287616,1.74553095034168,36.5125589087624,29.3835332780313,15.0449863291338,21.0124978020003,17.2761338790714,0.0055656507061267,0.0923793548791795,0.0376894596229473,0.138618434565728,0.136522740610329,0.161234815140845,0.173864528315728,0.238304669160798,0,0,0.12851551604728,0.855812584054063,0.0090921958268061
"147",109.102,0.941283719207469,0.177795327788557,0.0002161672280809,0.0407280647889955,127.757486037278,42.2176907484924,1.86934649439824,40.443481580825,30.5026032458145,14.4079670448055,18.8663155450482,18.3584020091543,0.0068078267200083,0.108395960466419,0.0447616529579865,0.137585152911325,0.134276943108974,0.165013788728633,0.18047859909188,0.251010132879273,0,0,0.140820030113991,0.855609482615895,0.0090898149533096
"148",114.79,0.942718344292677,0.17596011696145,0.0001347963104842,0.0461894246820075,127.169665479971,43.3838646986757,1.85351533933707,35.1997714508055,27.9379126845027,14.6920395245506,18.0461665416834,15.4644900732729,0.0063821223768314,0.101836458091643,0.0429360918950498,0.137772666581892,0.135847819175992,0.166221134282808,0.181135260363683,0.251796016658189,0,0,0.139825626821347,0.854627290229256,0.0090655633827778
"149",75.046,0.938053048252637,0.143121407012459,0.0002660493640727,0.0376090911380167,128.0734410607,43.9591726978789,1.58385403412808,30.5089969143996,24.4258575357402,13.0796438782742,17.9407732940182,15.1931352393435,0.0042496418580506,0.0804269143532195,0.0295727992150479,0.138540285214168,0.13342357392916,0.149953459637562,0.159092823311367,0.211323465815486,0,0,0.106882010357428,0.860636777328141,0.0091747132950668
"150",106.33,0.932688307095518,0.183772068204562,0.0001420412648928,0.0460751809005906,128.159706070718,43.7839122815626,1.81337879884805,24.951704178033,23.1874268961041,11.9641120206042,17.1346273302131,14.7357578001721,0.0093273448086785,0.128976452546681,0.0495130908062232,0.136824696342766,0.134425870928991,0.158058720969034,0.174526019420715,0.243765024359317,0,0,0.142554967920718,0.858155667903667,0.0092008837397785
"151",138.898,0.907858524398304,0.213225632650497,0.0001430181658658,0.0437825947988252,128.666972722751,43.7225670416769,1.8717162342444,33.5327662835427,30.502604270657,13.7157744567159,21.4412377145438,18.201280895683,0.0139397663730097,0.145991537097907,0.0628420114220144,0.132015273769745,0.128833554829891,0.145348819106926,0.164841822979951,0.241139856090522,0,0,0.16208504349296,0.865830139273465,0.0095370601917001
"152",24.526,0.940361404067676,0.12399229348708,0.0002184874058838,0.0533754815297552,126.003144474301,41.4176357467567,1.54433563173,49.1699465805808,41.6670304953123,21.7236800240345,22.6297690182513,19.6543546758899,0.0006218950168676,0.0149191161988581,0.0169837855828074,0.134164648261066,0.127385204945799,0.144328322606143,0.149315506436314,0.196725510953026,0,0,0.0934491698203477,0.865937334081357,0.0092085588618973
"153",105.526,0.918344410070524,0.211619431127774,0.0001358174061199,0.0422470773639217,127.027698018068,42.6161910896269,1.9286664749428,34.6034425598288,27.2441447744934,12.7903864679131,20.5307945613088,17.5711540247814,0.012750518304901,0.13952300100525,0.0599818808491808,0.133678493260144,0.132612623332407,0.1554060241801,0.175238717690383,0.255765520775431,0,0,0.165215041806802,0.860673154684585,0.0093720084234899
"154",62.974,0.952479652945251,0.0788159721247096,0.0001374267275379,0.0346669033053203,129.300401184808,43.9100728758783,1.34824994657414,42.4277569088749,26.1982687349002,19.9238792029146,19.08422604056,16.0044605374489,-0.0029107819839254,-0.143600944840492,-0.0010453430122371,0.137822150461584,0.127636120830852,0.141042221932698,0.14074765485408,0.172085393091126,0.0994639666468136,0.840381179273377,0.0572662345704212,0.865740822528964,0.009089336657764
"155",53.83,0.963876588521372,0.0845755589676258,0.0002893525669274,0.0318980848177359,129.517783386875,44.7874789367066,1.39667796995966,38.0378257151422,22.8332750735074,16.2216201309607,15.765858795427,13.8032049079782,-0.0035758672966642,-0.188535734718099,0.000356621111156,0.141754333941606,0.135787209169708,0.154093578923358,0.154203524178832,0.189651003649635,0.405109489051095,0.281021897810219,0.0632136053860849,0.857418851935133,0.0088955252378362
"156",95.326,0.969012076255575,0.0939185676367302,0.00014077519011,0.040844217959441,125.847074000234,43.4093680495979,1.46364987671667,39.1265978494362,23.3131186010789,14.4399574079591,12.5872143861738,9.53159208532255,-0.0040626741125484,-0.210971819198557,0.0025015575950149,0.144187151054591,0.140460317152606,0.163961819556452,0.164784196650124,0.205584725883995,0.619106699751861,0.0831265508684863,0.0718010551806524,0.851779883466587,0.0087901885264217
